antecedent,consequent,support,confidence,lift,leverage,conviction,transactions
"{citrus fruit, whole milk}",{yogurt},0.010269445856634469,0.33666666666666667,2.4133503401360543,0.006014180599102269,1.2972334984531195,101
"{whole milk, yogurt}",{root vegetables},0.014539908490086425,0.2595281306715063,2.3810253406289785,0.008433334048402609,1.2032888244265676,143
{onions},{other vegetables},0.014234875444839857,0.45901639344262296,2.372268118501417,0.008234341469012472,1.4908166566529557,140
"{pork, whole milk}",{other vegetables},0.010167768174885612,0.45871559633027514,2.370713552237654,0.0058788619233106285,1.4899881950488136,100
"{whipped/sour cream, whole milk}",{other vegetables},0.014641586171835282,0.4542586750788643,2.3476794899635474,0.008404965613352394,1.4778198659382702,144
{chicken},{root vegetables},0.010879511947127605,0.2535545023696682,2.32622064440829,0.0062026073838053345,1.1936591860943664,107
{curd},{yogurt},0.01728520589730554,0.3244274809160305,2.325615360648076,0.009852675914149298,1.2737318294227638,170
"{pip fruit, whole milk}",{other vegetables},0.013523131672597865,0.44932432432432434,2.3221779977560324,0.007699662633762108,1.4645778036996953,133
{berries},{yogurt},0.010574478901881037,0.3180428134556575,2.279847718904075,0.005936239771170939,1.2618068078451397,104
"{curd, yogurt}",{whole milk},0.010066090493136757,0.5823529411764706,2.27912502048173,0.005649443577028081,1.7825672898601574,99
{root vegetables},{other vegetables},0.047381799694966954,0.43470149253731344,2.2466049285887952,0.026291398311075295,1.4266929082333752,466
"{butter, other vegetables}",{whole milk},0.011489578037620742,0.5736040609137055,2.2448849737709087,0.0063714636701301,1.7459922047110656,113
{cream cheese},{yogurt},0.012404677173360447,0.3128205128205128,2.2424123495552064,0.006872832338568588,1.2522175598873957,122
"{root vegetables, tropical fruit}",{whole milk},0.011997966446365024,0.570048309178744,2.230969009459987,0.006620049319103283,1.7315526410492226,118
"{citrus fruit, whole milk}",{other vegetables},0.013014743263853584,0.42666666666666664,2.2050796987213173,0.007112578697465992,1.4066989040091744,128
"{root vegetables, yogurt}",{whole milk},0.014539908490086425,0.562992125984252,2.2033535849801504,0.00794091839190052,1.7035939854445192,143
"{tropical fruit, yogurt}",{other vegetables},0.012302999491611592,0.4201388888888889,2.171343127809891,0.006636921507879504,1.390863012155658,121
"{domestic eggs, other vegetables}",{whole milk},0.012302999491611592,0.5525114155251142,2.1623357627097084,0.006613319052624533,1.663693804924105,121
{chicken},{other vegetables},0.017895271987798677,0.4170616113744075,2.1554392789633723,0.009592893831080132,1.383520775726313,176
"{butter, whole milk}",{other vegetables},0.011489578037620742,0.4169741697416974,2.154987367004516,0.006157956045983951,1.3833132766598235,113
{hamburger meat},{other vegetables},0.013828164717844434,0.41590214067278286,2.149446954028807,0.0073948053404819586,1.3807744006473301,136
"{other vegetables, whole milk}",{yogurt},0.02226741230299949,0.2975543478260869,2.132978870896184,0.011827828204520493,1.225003269615975,219
"{root vegetables, whole milk}",{yogurt},0.014539908490086425,0.2972972972972973,2.1311362382790953,0.007717299860509798,1.2245551601423488,143
"{domestic eggs, whole milk}",{other vegetables},0.012302999491611592,0.41016949152542376,2.119819731556775,0.006499204334663794,1.3673544519047034,121
"{tropical fruit, whole milk}",{other vegetables},0.01708185053380783,0.4038461538461539,2.087139738873843,0.008897515668417037,1.3528510749954903,168
{whipped/sour cream},{other vegetables},0.02887646161667514,0.40283687943262414,2.081923651718265,0.0150063748856643,1.3505646009513264,284
{whipped/sour cream},{yogurt},0.02074224707676665,0.2893617021276596,2.0742509769865394,0.010742373721565982,1.210880729643915,204
"{whole milk, yogurt}",{other vegetables},0.02226741230299949,0.39745916515426494,2.0541307878571704,0.01142710338273428,1.3385107282204567,219
"{whipped/sour cream, yogurt}",{whole milk},0.010879511947127605,0.5245098039215685,2.0527472827571134,0.0055795356477971935,1.5657188978977874,107
"{rolls/buns, root vegetables}",{whole milk},0.012709710218607015,0.5230125523012552,2.04688756541299,0.006500424260077759,1.5608041455953048,125
"{fruit/vegetable juice, whole milk}",{other vegetables},0.01047280122013218,0.3931297709923664,2.0317558054177214,0.005318244165487017,1.3289618325004078,103
"{other vegetables, pip fruit}",{whole milk},0.013523131672597865,0.5175097276264592,2.0253514409893456,0.006846200746480632,1.543003099529331,133
"{tropical fruit, yogurt}",{whole milk},0.015149974580579562,0.517361111111111,2.0247698081089442,0.007667655099171922,1.5425279705061572,149
"{other vegetables, yogurt}",{whole milk},0.02226741230299949,0.5128805620608898,2.0072345116867694,0.01117383446077358,1.528339720777443,219
{tropical fruit},{yogurt},0.029283172343670564,0.27906976744186046,2.0004746084480303,0.014645059857759797,1.1935943060498222,288
"{other vegetables, whipped/sour cream}",{whole milk},0.014641586171835282,0.5070422535211268,1.9843854211620697,0.007263187794336082,1.5102389425521097,144
"{rolls/buns, whole milk}",{yogurt},0.015556685307574987,0.2746858168761221,1.9690488403619975,0.007656076146090204,1.1863799725168247,153
"{other vegetables, root vegetables}",{yogurt},0.012913065582104729,0.27253218884120173,1.9536108434790225,0.006303220215404711,1.1828677605265645,127
"{fruit/vegetable juice, other vegetables}",{whole milk},0.01047280122013218,0.4975845410628019,1.9473712540201578,0.00509488409287044,1.4818094716671228,103
{butter},{whole milk},0.02755465175394001,0.4972477064220184,1.9460530014566455,0.013395401346415137,1.4808166870145727,271
{beef},{other vegetables},0.019725470259278087,0.37596899224806196,1.943066231613079,0.009573747205091429,1.2924155396337709,194
{pork},{other vegetables},0.021657346212506354,0.37566137566137564,1.9414764212452071,0.010502255182033807,1.2917787562579164,213
"{other vegetables, rolls/buns}",{yogurt},0.011489578037620742,0.26968973747016706,1.9332351078856362,0.00554639089460077,1.178263903426139,113
{curd},{whole milk},0.026131164209456024,0.4904580152671756,1.9194805332879712,0.012517499597450459,1.4610846761832408,257
{butter milk},{other vegetables},0.010371123538383325,0.3709090909090909,1.9169158744565995,0.0049608060191946995,1.2820203884322534,102
"{other vegetables, root vegetables}",{whole milk},0.023182511438739197,0.4892703862660944,1.9148325702057454,0.011075702833406004,1.4576871317922186,228
{frozen vegetables},{other vegetables},0.017793594306049824,0.3699788583509514,1.912108287904155,0.008487848173045388,1.2801274724224878,175
{butter},{yogurt},0.014641586171835282,0.26422018348623855,1.8940273357049242,0.006911187620651786,1.1695050629653623,144
{citrus fruit},{yogurt},0.021657346212506354,0.2616707616707617,1.8757521436092865,0.010111393147068985,1.1654668079890573,213
"{soda, whole milk}",{yogurt},0.01047280122013218,0.26142131979695427,1.873964052626126,0.004884219515239891,1.1650731922075062,103
{butter},{other vegetables},0.020030503304524657,0.3614678899082569,1.868122279163272,0.0093082376755872,1.2630647055729887,197
"{other vegetables, tropical fruit}",{whole milk},0.01708185053380783,0.47592067988668557,1.862586504849006,0.00791081311388805,1.4205559295950754,168
"{citrus fruit, yogurt}",{whole milk},0.010269445856634469,0.47417840375586856,1.855767847568232,0.004735647073510069,1.4158490086426028,101
{fruit/vegetable juice},{yogurt},0.018708693441789527,0.2587904360056259,1.8551049111627773,0.008623714781438214,1.1609378270881305,184
{domestic eggs},{whole milk},0.029994916115912557,0.47275641025641024,1.8502026640954214,0.013783223906196004,1.4120304167703273,295
{frozen vegetables},{yogurt},0.012404677173360447,0.25792811839323465,1.8489235017474217,0.005695542283984678,1.1595887702649268,122
"{other vegetables, pork}",{whole milk},0.010167768174885612,0.4694835680751174,1.837393908483398,0.004633969391761212,1.4033193713979781,100
"{other vegetables, pastry}",{whole milk},0.010574478901881037,0.46846846846846846,1.8334211648974879,0.004806857634962648,1.400639363049641,104
{domestic eggs},{other vegetables},0.02226741230299949,0.35096153846153844,1.8138238206879824,0.0099909100049133,1.2426187651810428,219
{citrus fruit},{other vegetables},0.02887646161667514,0.34889434889434895,1.8031402634660652,0.01286192175987681,1.2386735858648839,284
"{soda, whole milk}",{other vegetables},0.013929842399593289,0.3477157360406091,1.7970490089119235,0.0061783329357375846,1.236435425770347,137
{cream cheese},{other vegetables},0.013726487036095577,0.34615384615384615,1.7889769190347224,0.006053673099791709,1.2334818624958879,135
{pip fruit},{other vegetables},0.026131164209456024,0.3454301075268817,1.7852365252374574,0.011493796084814796,1.2321180379756747,257
{frankfurter},{rolls/buns},0.019217081850533807,0.3258620689655172,1.7716160576428202,0.008369877250174393,1.2105313113950515,189
"{rolls/buns, yogurt}",{whole milk},0.015556685307574987,0.45266272189349116,1.7715630202238302,0.006775352027311856,1.360192363181687,153
{sausage},{rolls/buns},0.030604982206405694,0.3257575757575758,1.7710479588589043,0.013324263153419318,1.210343704837687,301
{tropical fruit},{other vegetables},0.035892221657346214,0.34205426356589147,1.7677896385551983,0.015588775548972898,1.2257961819206897,353
"{citrus fruit, other vegetables}",{whole milk},0.013014743263853584,0.45070422535211263,1.7638981521440618,0.005636344886354384,1.3553426407518934,128
{whipped/sour cream},{whole milk},0.032231825114387394,0.449645390070922,1.759754242478121,0.013915730550524943,1.3527350772278683,317
"{sausage, whole milk}",{other vegetables},0.010167768174885612,0.3401360544217687,1.7578760353326826,0.004383646899825772,1.2222328209267344,100
{root vegetables},{whole milk},0.048906964921199794,0.44869402985074625,1.7560309524799398,0.021056109073738026,1.3504007322169433,481
"{rolls/buns, tropical fruit}",{whole milk},0.010981189628876462,0.4462809917355372,1.7465871682128962,0.004693962842415875,1.3445158548892548,108
{margarine},{other vegetables},0.019725470259278087,0.3368055555555555,1.7406634991533834,0.00839331429181391,1.2160948849737954,194
{sugar},{whole milk},0.015048296898830707,0.4444444444444445,1.7393995666976168,0.006396864998453124,1.340071174377224,148
{hamburger meat},{whole milk},0.014743263853584139,0.4434250764525994,1.7354101181501451,0.006247713609069214,1.3376168315670094,145
"{rolls/buns, yogurt}",{other vegetables},0.011489578037620742,0.334319526627219,1.7278153149651596,0.004839805959490723,1.2115532960515167,113
{ham},{whole milk},0.011489578037620742,0.44140625,1.7275091399721447,0.004838627387480619,1.332782519971132,113
{sliced cheese},{whole milk},0.010777834265378749,0.4398340248962655,1.7213560027277242,0.004516587754895272,1.3290417819955187,106
"{bottled water, other vegetables}",{whole milk},0.010777834265378749,0.4344262295081967,1.7001917895794327,0.004438646926963943,1.316334003816597,106
{white bread},{other vegetables},0.013726487036095577,0.32608695652173914,1.6852681121341588,0.005581499934480701,1.196752874034472,135
{curd},{other vegetables},0.017183528215556684,0.32251908396946566,1.6668287918232763,0.006874414106266357,1.1904503175637453,169
"{other vegetables, soda}",{whole milk},0.013929842399593289,0.42546583850931674,1.6651239640824234,0.005564193534963914,1.2958045590074059,137
{frozen vegetables},{whole milk},0.02043721403152008,0.4249471458773784,1.6630939831691272,0.008148543494347116,1.2946357546577347,201
{sugar},{other vegetables},0.010777834265378749,0.3183183183183183,1.6451185815347664,0.0042264315966885225,1.183114338120844,106
"{other vegetables, rolls/buns}",{whole milk},0.017895271987798677,0.4200477326968974,1.6439193995519241,0.007009536353389646,1.2836987244262847,176
"{pastry, whole milk}",{other vegetables},0.010574478901881037,0.3180428134556575,1.6436947295514406,0.004141119524518562,1.182636370061166,104
"{rolls/buns, whole milk}",{other vegetables},0.017895271987798677,0.31597845601436264,1.6330258091966665,0.006936919776205716,1.1790672073464126,176
{cream cheese},{whole milk},0.016471784443314694,0.41538461538461546,1.6256695950289266,0.006339476812241849,1.2734594493350817,162
{butter milk},{whole milk},0.011591255719369599,0.41454545454545455,1.622385414028868,0.004446679825664388,1.271634137176455,114
"{bottled water, whole milk}",{other vegetables},0.010777834265378749,0.3136094674556213,1.6207825078434237,0.00412806218724873,1.174997808670652,106
{margarine},{whole milk},0.024199288256227757,0.4131944444444444,1.6170980346641903,0.009234649293412478,1.2687064372802122,238
{dessert},{other vegetables},0.011591255719369599,0.31232876712328766,1.6141636493208271,0.004410288830264696,1.1728095244846743,114
{yogurt},{other vegetables},0.04341637010676157,0.3112244897959184,1.6084565723294046,0.016423804156482313,1.1709292210359827,427
{hard cheese},{whole milk},0.010066090493136757,0.4107883817427386,1.6076815497174028,0.0038048439826532804,1.263525637812641,99
{chicken},{whole milk},0.01759023894255211,0.4099526066350711,1.6044106192821026,0.00662656248021175,1.2617359116180025,173
{berries},{other vegetables},0.010269445856634469,0.308868501529052,1.5962804585066874,0.0038360864792719935,1.166937657184248,101
{white bread},{whole milk},0.01708185053380783,0.4057971014492754,1.5881474304630414,0.006326016279284349,1.252912073604722,168
{beef},{whole milk},0.02125063548551093,0.4050387596899225,1.5851795469758803,0.007844813081322243,1.2513151031101117,209
{tropical fruit},{whole milk},0.04229791560752415,0.40310077519379844,1.5775949558420244,0.015486270799146773,1.2472523917363776,416
{oil},{whole milk},0.01128622267412303,0.40217391304347827,1.57396754269105,0.004115666504440709,1.2453186670980265,111
{yogurt},{whole milk},0.05602440264361973,0.40160349854227406,1.5717351405345266,0.020379464003024997,1.244131581570951,551
{chocolate},{soda},0.013523131672597865,0.2725409836065574,1.5629391100702577,0.004870758982282394,1.1349406044809782,133
{pip fruit},{whole milk},0.030096593797661414,0.3978494623655914,1.5570431605115762,0.010767268470691677,1.2363751906456533,296
{onions},{whole milk},0.012099644128113879,0.3901639344262295,1.5269647015845471,0.0041756599550953725,1.220793632571844,119
{hygiene articles},{whole milk},0.012811387900355872,0.38888888888888884,1.5219746208604144,0.004393778483772277,1.2182465221611127,126
{brown bread},{whole milk},0.02521606507371632,0.3887147335423197,1.5212930379581036,0.00864064900032023,1.2178994433798704,248
{other vegetables},{whole milk},0.07483477376715811,0.38675775091960063,1.5136340948246207,0.025394308582718045,1.2140128748166512,736
{whole milk},{other vegetables},0.07483477376715811,0.2928770393951452,1.5136340948246205,0.025394308582718045,1.140547566072612,736
"{whole milk, yogurt}",{rolls/buns},0.015556685307574987,0.2776769509981851,1.5096477684174407,0.005251840937233543,1.1297785317027436,153
{pork},{whole milk},0.022165734621250637,0.3844797178130512,1.504718672778097,0.007434918142229347,1.2095198278762913,218
{fruit/vegetable juice},{other vegetables},0.021047280122013217,0.2911392405063291,1.5046528798632406,0.007059150099674626,1.1377514706950396,207
{bottled water},{soda},0.028978139298423997,0.2621895124195032,1.5035765916302124,0.009705333736184412,1.1190174031114386,285
"{soda, yogurt}",{whole milk},0.01047280122013218,0.38289962825278806,1.4985347568110507,0.003484106982289628,1.2064228444025211,103
{brown bread},{other vegetables},0.018708693441789527,0.28840125391849525,1.490502539300263,0.0061567567972719145,1.1333737953770247,184
{sausage},{soda},0.024300965937976614,0.25865800865800864,1.483324498630621,0.007918194696477646,1.1136867807881132,239
{sausage},{other vegetables},0.026944585663446874,0.2867965367965368,1.4822091116100575,0.008765918798973094,1.1308236895112296,265
"{other vegetables, sausage}",{whole milk},0.010167768174885612,0.3773584905660377,1.4768486887055234,0.0032829950409514986,1.1956864013803514,100
{long life bakery product},{other vegetables},0.010676156583629894,0.28532608695652173,1.474609598117389,0.0034361680488611147,1.128497006694103,105
{napkins},{whole milk},0.019725470259278087,0.37669902912621356,1.4742677880844848,0.006345628131066509,1.1944213478786265,194
{salty snack},{other vegetables},0.010777834265378749,0.28494623655913975,1.472646472180315,0.003459150203058135,1.1278975272446494,106
{pastry},{whole milk},0.033248601931875954,0.3737142857142857,1.4625865499403103,0.010515860451904824,1.188728991869496,327
{fruit/vegetable juice},{soda},0.01840366039654296,0.2545710267229255,1.459886908349838,0.0057974370711038215,1.1075807426307662,181
{dessert},{whole milk},0.013726487036095577,0.3698630136986301,1.4475140229709618,0.004243686304450479,1.1814637165403061,135
{frankfurter},{other vegetables},0.016471784443314694,0.2793103448275862,1.44351930708319,0.005060932948298683,1.1190772142261185,162
{citrus fruit},{whole milk},0.030503304524656837,0.36855036855036855,1.4423767905662055,0.009355359879289413,1.179007712865392,300
{fruit/vegetable juice},{whole milk},0.026639552618200304,0.36849507735583686,1.4421604002366317,0.008167576398475197,1.1789044852539055,262
"{other vegetables, yogurt}",{rolls/buns},0.011489578037620742,0.26463700234192034,1.4387534096366978,0.003503791202528552,1.1097445429199628,113
{napkins},{other vegetables},0.01443823080833757,0.2757281553398058,1.4250059946226958,0.00430618163603887,1.1135423495722314,142
{long life bakery product},{whole milk},0.013523131672597865,0.36141304347826086,1.414443805256146,0.003962390113021437,1.165830241538578,133
"{root vegetables, whole milk}",{rolls/buns},0.012709710218607015,0.2598752598752599,1.412865218835368,0.003714011231067571,1.1026047765661504,125
{beef},{rolls/buns},0.01362480935434672,0.2596899224806201,1.4118575940281364,0.003974537675406276,1.102328738318379,134
"{tropical fruit, whole milk}",{rolls/buns},0.010981189628876462,0.25961538461538464,1.4114523536165327,0.0032011256396531585,1.102217761902561,108
"{other vegetables, root vegetables}",{rolls/buns},0.012201321809862735,0.2575107296137339,1.4000099644837327,0.003486153975780861,1.0990934229820948,120
{berries},{whole milk},0.01179461108286731,0.3547400611620795,1.3883280945201162,0.0032990608383523853,1.1537737599298374,116
{margarine},{rolls/buns},0.014743263853584139,0.2517361111111111,1.3686150651065658,0.003970867560813411,1.090611328214849,145
{frankfurter},{whole milk},0.020538891713268937,0.3482758620689655,1.3630294880414944,0.0054703316465452186,1.1423299252480745,202
{waffles},{other vegetables},0.010066090493136757,0.2619047619047619,1.3535645472061657,0.002629363139488392,1.0926874067271266,99
{newspapers},{whole milk},0.027351296390442297,0.34267515923566877,1.3411103028582578,0.0069567797484110586,1.1325967612899666,269
{chocolate},{other vegetables},0.012709710218607015,0.25614754098360654,1.3238103339851657,0.0031088558572832,1.084230295747604,125
{chocolate},{whole milk},0.016675139806812404,0.3360655737704918,1.3152427051463536,0.003996765129982793,1.121321558806731,164
{pastry},{other vegetables},0.02257244534824606,0.2537142857142857,1.3112348922753547,0.005357798696282251,1.0806951763827504,222
{waffles},{whole milk},0.012709710218607015,0.3306878306878307,1.294196106173822,0.002889165899259489,1.11231204197319,125
{coffee},{whole milk},0.018708693441789527,0.3222416812609457,1.261140841703701,0.0038739558588597976,1.098450531968698,184
{sausage},{whole milk},0.0298932384341637,0.3181818181818182,1.2452519625221574,0.005887463431314192,1.0919098457888492,294
{bottled water},{whole milk},0.03436705643111337,0.31094756209751606,1.2169396232507244,0.0061264964439949506,1.0804460514375038,338
{rolls/buns},{whole milk},0.05663446873411286,0.30790491984521834,1.2050317893663836,0.009636149491521126,1.0756961104226122,557
{salty snack},{whole milk},0.011184544992374174,0.29569892473118276,1.1572618084883335,0.0015198823288893049,1.0570535981092608,110
{bottled beer},{whole milk},0.02043721403152008,0.2537878787878788,0.9932366843926732,-0.0001391645423509287,0.9976841230558015,201
