items,length,support
"bottled water, pip fruit",2,0.010574478901881037
"fruit/vegetable juice, other vegetables, whole milk",3,0.01047280122013218
"soda, whole milk, yogurt",3,0.01047280122013218
"curd, whipped/sour cream",2,0.01047280122013218
"butter milk, other vegetables",2,0.010371123538383325
"citrus fruit, other vegetables, root vegetables",3,0.010371123538383325
"citrus fruit, domestic eggs",2,0.010371123538383325
"citrus fruit, fruit/vegetable juice",2,0.010371123538383325
"citrus fruit, whole milk, yogurt",3,0.010269445856634469
"berries, other vegetables",2,0.010269445856634469
"soda, white bread",2,0.010269445856634469
"curd, tropical fruit",2,0.010269445856634469
"bottled water, margarine",2,0.010269445856634469
"butter, whipped/sour cream",2,0.010167768174885612
"brown bread, root vegetables",2,0.010167768174885612
"margarine, soda",2,0.010167768174885612
"other vegetables, whipped/sour cream, yogurt",3,0.010167768174885612
"other vegetables, pork, whole milk",3,0.010167768174885612
"frozen vegetables, rolls/buns",2,0.010167768174885612
"frankfurter, root vegetables",2,0.010167768174885612
"other vegetables, sausage, whole milk",3,0.010167768174885612
"frankfurter, sausage",2,0.010066090493136757
"curd, whole milk, yogurt",3,0.010066090493136757
"curd, rolls/buns",2,0.010066090493136757
"other vegetables, waffles",2,0.010066090493136757
"napkins, tropical fruit",2,0.010066090493136757
"hard cheese, whole milk",2,0.010066090493136757
"fruit/vegetable juice, sausage",2,0.010066090493136757
